Brand,Color,Ratings,Ratings_reviews,Original_price,Selling_price,Ram,Rom,Discount,Model
POCO,Ice Silver,4.2,"18,328 Ratings & 1,055 Reviews","₹17,999","₹12,449",8 GB,128 GB,30% off,POCO M6
MOTOROLA,Midnight Black,4.3,"7,411 Ratings & 356 Reviews","₹15,499","₹12,999",8 GB,128 GB,16% off,MOTOROLA g35
MOTOROLA,Pantone Dresden Blue,4.4,"83,998 Ratings & 4,217 Reviews","₹22,999","₹18,999",8 GB,256 GB,17% off,MOTOROLA G96
Samsung,Lit Violet,4.2,"20,293 Ratings & 1,279 Reviews","₹15,499","₹10,999",6 GB,128 GB,29% off,Samsung Galaxy
MOTOROLA,Pantone Golden Cypress,4.3,"27,104 Ratings & 1,745 Reviews","₹19,999","₹16,999",8 GB,128 GB,15% off,MOTOROLA G86
vivo,Marine Blue,4.4,"1,53,685 Ratings & 7,232 Reviews","₹20,999","₹18,499",8 GB,256 GB,11% off,vivo T4x
realme,Stellar Pink,4.4,"71,571 Ratings & 2,727 Reviews","₹16,999","₹12,999",6 GB,128 GB,23% off,realme P3x
OPPO,Midnight Violet,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,Leaf Green,4.3,"7,411 Ratings & 356 Reviews","₹15,499","₹12,999",8 GB,128 GB,16% off,MOTOROLA g35
IQOO,Titanium Blue,4.2,"2,187 Ratings & 92 Reviews","₹13,999","₹12,035",4 GB,128 GB,14% off,IQOO Z10
MOTOROLA,Pantone Sparkling Grape,4.4,"2,435 Ratings & 182 Reviews","₹42,999","₹36,999",16 GB,512 GB,13% off,MOTOROLA Edge
MOTOROLA,Pantone Ashleigh Blue,4.4,"83,998 Ratings & 4,217 Reviews","₹22,999","₹18,999",8 GB,256 GB,17% off,MOTOROLA G96
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
vivo,Phantom Grey,4.5,"93,965 Ratings & 4,201 Reviews","₹27,999","₹24,999",8 GB,256 GB,10% off,vivo T4
Nothing,3a) Pro (Grey,4.5,"12,808 Ratings & 972 Reviews","₹34,999","₹30,999",8 GB,256 GB,11% off,Nothing Phone
Samsung,Amber Yellow,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
realme,Purple Blossom,4.4,"7,412 Ratings & 305 Reviews","₹12,999","₹11,999",4 GB,128 GB,7% off,realme P3
realme,Midnight Blue,4.4,"71,571 Ratings & 2,727 Reviews","₹16,999","₹12,998",6 GB,128 GB,23% off,realme P3x
POCO,Lunar Dust,4.3,"36,348 Ratings & 2,602 Reviews","₹18,999","₹13,499",6 GB,128 GB,28% off,POCO M7
CMF,Black,4.4,"69,832 Ratings & 4,792 Reviews","₹22,999","₹17,999",8 GB,128 GB,21% off,CMF by
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
REDMI,Starry Black,4.2,"1,876 Ratings & 65 Reviews","₹12,999","₹10,893",6 GB,128 GB,16% off,REDMI A4
MOTOROLA,Pantone Walnut,4.3,"44,921 Ratings & 3,326 Reviews","₹36,999","₹28,999",8 GB,256 GB,21% off,MOTOROLA Edge
POCO,Olive Twilight,4.3,"36,348 Ratings & 2,602 Reviews","₹18,999","₹13,499",6 GB,128 GB,28% off,POCO M7
realme,Lake Green,4.4,"5,112 Ratings & 391 Reviews","₹17,999","₹14,999",6 GB,128 GB,16% off,realme P4x
realme,Neptune Blue,4.4,"19,034 Ratings & 1,849 Reviews","₹33,999","₹24,499",8 GB,256 GB,27% off,realme P3
realme,Purple Blossom,4.4,"7,412 Ratings & 305 Reviews","₹12,999","₹11,999",4 GB,128 GB,7% off,realme P3
CMF,Light Green,4.4,"69,832 Ratings & 4,792 Reviews","₹22,999","₹17,999",8 GB,128 GB,21% off,CMF by
OnePlus,Marble Mist,4.5,"7,049 Ratings & 384 Reviews","₹24,999","₹24,917",8 GB,128 GB,,OnePlus Nord
OPPO,Midnight Violet,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
OPPO,Prism Black,4.5,"75,510 Ratings & 4,507 Reviews","₹22,999","₹19,999",8 GB,128 GB,13% off,OPPO K13
POCO,Ocean Blue,4.1,"72,792 Ratings & 3,360 Reviews","₹12,999","₹11,499",6 GB,128 GB,11% off,POCO M7
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
realme,Onyx Black,4.3,"6,532 Ratings & 265 Reviews","₹14,999","₹12,232",6 GB,128 GB,18% off,realme Narzo
OPPO,Sunset Peach,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
POCO,Nebula Green,4.3,"16,874 Ratings & 1,754 Reviews","₹31,999","₹22,999",8 GB,256 GB,28% off,POCO X7
Tecno,Geek Black,4.4,"3,658 Ratings & 390 Reviews","₹23,999","₹18,749",8 GB,256 GB,21% off,Tecno Pova
Samsung,Amber Yellow,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
vivo,Pronto Purple,4.4,"1,53,685 Ratings & 7,232 Reviews","₹19,499","₹16,499",8 GB,128 GB,15% off,vivo T4x
realme,Engine Blue,4.4,"18,852 Ratings & 1,201 Reviews","₹20,999","₹17,999",6 GB,128 GB,14% off,realme P4
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Samsung,Black,4.3,"9,044 Ratings & 523 Reviews","₹22,999","₹16,999",6 GB,128 GB,26% off,Samsung Galaxy
POCO,Phantom Black,4.4,"20,281 Ratings & 1,953 Reviews","₹37,999","₹33,999",12 GB,512 GB,10% off,POCO F7
REDMI,Orchid Pink,4.2,"14,780 Ratings & 775 Reviews","₹19,999","₹13,746",8 GB,128 GB,31% off,REDMI 13
realme,Crystal Purple,4.3,"6,532 Ratings & 265 Reviews","₹14,999","₹12,231",6 GB,128 GB,18% off,realme Narzo
OPPO,Midnight Violet,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,Pantone Spellbound,4.3,"27,104 Ratings & 1,745 Reviews","₹19,999","₹16,999",8 GB,128 GB,15% off,MOTOROLA G86
REDMI,Stargaze Black,4.2,"8,875 Ratings & 442 Reviews","₹13,999","₹10,626",4 GB,128 GB,24% off,REDMI 14C
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
vivo,Marine Blue,4.4,"1,53,685 Ratings & 7,232 Reviews","₹19,499","₹16,499",8 GB,128 GB,15% off,vivo T4x
realme,Lunar Silver,4.4,"71,571 Ratings & 2,727 Reviews","₹16,999","₹12,999",6 GB,128 GB,23% off,realme P3x
Google,Obsidian,4.4,"5,762 Ratings & 393 Reviews","₹49,999","₹39,999",8 GB,256 GB,20% off,Google Pixel
vivo,Marine Blue,4.5,"2,04,656 Ratings & 8,968 Reviews","₹17,999","₹15,499",6 GB,128 GB,13% off,vivo T4x
Samsung,Amber Yellow,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Tecno,Geek Black,4.4,"3,658 Ratings & 390 Reviews","₹23,999","₹18,749",8 GB,256 GB,21% off,Tecno Pova
POCO,Yellow,4.3,"16,874 Ratings & 1,754 Reviews","₹31,999","₹22,999",8 GB,256 GB,28% off,POCO X7
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,PANTONE Slipstream,4.4,"46,542 Ratings & 2,422 Reviews","₹27,999","₹23,999",12 GB,256 GB,14% off,MOTOROLA Edge
Nothing,3a) (Black,4.5,"55,446 Ratings & 3,855 Reviews","₹27,999","₹24,999",8 GB,128 GB,10% off,Nothing Phone
realme,Onyx Black,4.3,716 Ratings & 36 Reviews,"₹13,999","₹11,590",4 GB,128 GB,17% off,realme Narzo
vivo,Emerald Blaze,4.5,"93,965 Ratings & 4,201 Reviews","₹25,999","₹22,999",8 GB,128 GB,11% off,vivo T4
Infinix,Titanium Grey,4.4,"9,949 Ratings & 624 Reviews","₹19,999","₹17,999",6 GB,128 GB,10% off,Infinix Note
Tecno,Oasis Green,4.4,"8,858 Ratings & 679 Reviews","₹19,999","₹15,999",8 GB,256 GB,20% off,Tecno Pova
POCO,Graphite Black,4.2,"18,328 Ratings & 1,055 Reviews","₹17,999","₹12,420",8 GB,128 GB,30% off,POCO M6
realme,Steel Grey,4.4,"13,933 Ratings & 936 Reviews","₹21,999","₹18,999",8 GB,128 GB,13% off,realme P4
OPPO,Midnight Violet,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
OPPO,Glacier White,4.7,164 Ratings & 47 Reviews,"₹49,999","₹45,999",8 GB,256 GB,8% off,OPPO Reno15
OPPO,Prism Black,4.5,"75,510 Ratings & 4,507 Reviews","₹24,999","₹21,999",8 GB,256 GB,12% off,OPPO K13
MOTOROLA,Pantone Sparkling Grape,4.3,"13,629 Ratings & 1,104 Reviews","₹40,999","₹32,999",12 GB,256 GB,19% off,MOTOROLA Edge
MOTOROLA,Pantone Dresden Blue,4.4,"83,998 Ratings & 4,217 Reviews","₹20,999","₹17,999",8 GB,128 GB,14% off,MOTOROLA G96
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
vivo,Twilight Blue,4.5,"53,740 Ratings & 2,397 Reviews","₹24,999","₹22,999",8 GB,256 GB,8% off,vivo T4R
REDMI,Sparkle Purple,4.3,"14,008 Ratings & 585 Reviews","₹11,999","₹10,499",4 GB,128 GB,12% off,REDMI A4
Samsung,Amber Yellow,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
